,dialog,act,emotion,len_dialog
8160,"['Have you moved into your new house yet , Michael ? '
 ' We just moved in yesterday , actually . '
 ' So , what do you think about the place ? Are you glad that you moved in ? '
 "" It's great ! Unfortunately , we're going to spend a fortune doing everything up . ""
 ' How old is the house then ? '
 "" It's about 200 years old . It has a lot of history ! ""
 ' Sounds fascinating . Where is your new house located ? '
 "" It's just off of the ring road . "" ' Do you have a big yard ? '
 "" It's bigger than our last one . I've got flowers in the front , and fruits , vegetables and a fish pond in the back . ""
 ' Is your house well-lit ? '
 "" Oh , yes . Our windows let plenty of natural light in . They've also got wonderful views of the park behind our house . ""
 ' How many rooms does your house have ? '
 "" Right now , there are three bedrooms , two barrooms , a kitchen , a sitting room , a dining room , and a living room . We're hoping to add on a green room and a guest bedroom . In fact , when the guest bedroom is ready , you should come and stay with us for a weekend . ""
 "" I'd be up for that ! ""]",[2 1 2 1 2 1 2 1 2 1 2 1 2 1 1],[0 0 0 4 0 0 4 0 0 0 0 0 0 0 4],1106
8163,"[""Hello , come in , I've been waiting for you . ""
 "" Than you , I'm not late , am I ? ""
 "" No , no , no , not at all.It ' s just that I've been looking forward to meeting you . ""
 "" Well , thank you , but it's not all that hard to do , you know . I've been calling your office and sending you proposals for about two years now , and you've never responded before . ""
 ' Ha , ha , ha ! Yes , I guess I deserved that . Let me explain , okay ? '
 ' Please , I wish you would . '
 "" Well , as you probably know I buy from a selected group of suppliers and don't , as a rule , deal with new people . ""
 "" Yes , I know that . It's why Ive been trying to become one of those suppliers . I hear you're a good man to do business with . ""
 "" I'm very old-fashioned . I believe in loyalty.Once I start a sales relationship with someone , I stay with him or her , and we so most of our business on the phone . I expect their absolute best price possible and don't haggle.But if I find out they screwed me over , then I find another supplier . ""
 "" That's pretty much what I heard . ""
 "" Well , those are my terms . As long as you honor them , we do business.If you break faith and try to take advantage , I'll find someone else to work with . Can you live with that ? ""
 ' No problem at all , Mike . Just give me the chance . ']",[1 2 1 1 2 1 1 1 1 1 3 3],[0 0 0 0 0 0 0 0 0 0 0 0],1316
8168,"['OK , I just want to brief you all on the travel market in Taiwan . To start with , generally speaking , the travel industry in Taiwan focuses mainly on tours . This segment of the industry is well developed . '
 ' Sorry to interrupt , Doris , but can you tell me more about these tour groups , what kind of things they enjoy , and so on ? '
 ' Yes , of course . Most of the time , when they travel , they prefer to do so in large groups accompanied by a guide , who usually takes care of everything , for instance , choosing the restaurants , the itinerary , the mode of transport , and things like that . Another thing is that most travelers to the UK tend to be middle aged , around 40 to 50 or so . This age group is less adventurous ; they like good hotels , and have money to spend . They kind of prefer to stay in the cities where they feel safer . They are not into mountain climbing in Wales or anything . '
 ' I don ’ t mean to interrupt , but can you tell me what plans you have for growing the youth market ? '
 "" Just a moment . I'll tell you about that in a minute . Where was I ? Oh yes . By way of illustration , let ’ s look at the top five destinations in the UK for this kind of traveler over the last five years . If you look at page ten you can see what I mean . In spite of these characteristics of the market , I still think there is room for growth in the youth sector . ""
 ' So how do you intend to do that ? '
 ' OK , let me tell you what we ’ Ve been doing . We ’ Ve been in touch with the Wales and Scottish Tourist development offices here in Taiwan and they ’ re interested in working with us to promote their regions to the youth segment . We ’ Ve decided to implement an advertising campaign focusing on the excitement of the activities in those regions . '
 ' May I interrupt you for a moment ? ' ' Go ahead . '
 ' How much is it going to cost , and who is going to pay ? '
 "" Well , at the moment we are trying to work out those details . We haven't managed to come up with a concrete plan yet , but we are working on it . ""
 ' I see . OK . So what ’ s next ? '
 ' Well , our intention is to have some features about these regions in some youth magazines . We ’ re also going to run some ads on TV and put some flyers in places where young people go , like the gym and student organizations . We ’ re making arrangements to have some activities at big shopping malls and department stores around town . ']",[1 2 1 2 3 2 1 3 4 2 1 2 1],[0 0 0 0 0 0 0 0 0 0 0 0 0],2440
8184,"['Well , Yuri , tell me about it . '
 "" I'm sorry I can't bring better news , sir . The site is a disaster . ""
 "" That's what I was afraid of . ""
 ' It is not only the earthquake , sir . But the mudslides.Much of the north half of the site has been covered over by mud . '
 ' Mud ? But Ivan told me there were no mudslides in that district . I thought all the mudslides were down in Chichitango . '
 "" That's what we thought , sir . That's what the news reported.But there was one little mudslide in our district too . Right above our site . ""
 "" Oh , that's terrible ! What bad luck ! I wish we had never come to this country.But , if it isn't the strikes and the revolutionaries , it's the earthquakes.Our operations here are finished ! ""
 "" I'm sorry , sir . ""
 "" It's not your fault , Yuri.But tell me . When will Ivan be able to get out there ? ""
 ' Well , it took me about nine hours to get back here by car.If Ivan leaves tonight , I think he should be there by tomorrow lunch . '
 ' Good . I want an estimate of damages as soon as possible . '
 ' But sir ... ' ' Yes , Yuri ? '
 "" I wouldn't recommend sending Ivan now.Especially not at night . The roads aren't safe . ""
 ' Has the earthquake damaged the bridges too ? '
 "" No , sir . The bridges are fine.But I've heard rumors that the revolutionaries are coming down from the mountains.There has been fighting , sir . ""
 "" Are you serious ? Fighting ? But I didn't hear anything on the news . ""
 "" You know the government controls the press here , sir . They don't want it reported . ""
 "" Oh , this is terrible , Yuri . Terrible ! So we can't even assess the damages . How can we do business in this country ? Either we're buried under mud , or we're in danger of getting kidnapped.No , I can't believe this mess ! ""
 "" I'm sorry , sir . ""
 "" You don't have to keep saying that , Yuri . It's not your fault.But me--I'm the one who should be sorry.It was me who suggested operations here in the first place ! Oh , what can we do ? ""]",[3 1 1 1 2 1 1 1 3 1 1 1 2 3 2 1 2 1 1 1 2],[0 0 0 0 6 0 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5],1992
8198,"['Do you eat a lot of fruit and vegetables in you country ? '
 ' Yes , we do . The most popular vegetables are potatoes , carrots , peas , and cauliflower . The most popular fruit are apples , bananas , pears , peaches , grapes , and oranges . Do you like vegetables ? '
 ' I like them very much . We also eat a lot of vegetables in my country , buy we eat different kinds . '
 ' Which kinds of vegetables do people in your country usually eat ? '
 ' We eat a lot of sweet corn , broccoli and eggplant . '
 ' I love eggplant ! Unfortunately , it ’ s quite expensive in my country , so I don ’ t eat it often . '
 ' Why is it relatively expensive ? '
 ' Because we don ’ t grow it much in my country . We import a lot from other countries . '
 "" I see . We grow a lot of fruit and vegetables in my country . We export a lot of melons , grapes , oranges and lemons . In your country , do you eat corn on the cob ? It's very popular in my country . ""
 "" We eat it in my country too , but I wouldn't say it ’ s very popular . Most people buy frozen sweet corn from their local supermarket . ""
 ' Do people usually buy frozen vegetables in your country , it ’ s very rare in mine . '
 ' A lot of younger people like to buy large packets of mixed frozen vegetables . Peas and sweet corn have been sold frozen in my country for many years . I prefer to buy fresh vegetables . ']",[2 2 1 2 1 1 2 1 2 1 2 1],[0 0 4 0 0 4 0 0 0 0 6 0],1371
8210,"[""Hi , I'm Benjamin . Nice to meet you here . You look great . ""
 "" Thank you . Nice to meet you too . I'm John . Is this your first time to take a long-distance trip on plane ? ""
 ' No , this is the second time . But I also feel bad because of the lower pressure and the jet lag . '
 ' Oh , I am sorry to hear that . Take it easy . It will be OK soon . You see , I take this long-hour plane frequently , but the jet lag still makes me uneasy . '
 "" Oh , that's too bad . Do you get a good knowledge of China ? ""
 "" Yes , whenever I think about China , I'd see the Tian'an Men Square . China is a very beautiful country . And I've seen many landmarks in China but I like the Great Wall most . ""
 ' All of the Chinese are proud of the Great Wall . And it was built before the In dynasty near Shan Haiguan-the First Pass in the World . '
 ' Was it built before the In dynasty ? I thought it was in the Ming dynasty . '
 ' No , before the In dynasty . '
 ' Oh , yeah . Thought I am an American , I know quite a lot about China and I like Chinese tea very well . '
 ' Both the green tea and the black tea are good for our health . And I usually refresh myself with a cup of tea . '
 "" Yeah , many of my friends like Chinese tea and whenever I go back to China , I'll take some Dragon-well green tea for them . ""
 ' Do you like the Chinese traditional silk ? '
 "" I heard about it , but I don't have any clothes made from silk . ""
 ' Go and pick some stuff up . The price can always surprise foreign friends . '
 "" Oh , I'm eager to have a try . ""]",[1 2 1 1 2 1 1 2 1 1 1 1 2 1 3 4],[0 0 0 0 0 0 0 0 0 0 4 4 0 0 0 0],1543
8214,"[""It's time to graduate and it's time to find a job . Susan , why do we need to find a job ? ""
 ' We need to work is because we need money to live . We need money for food and clothes and to pay for our house . We need money for many different things , and only when we work , we can earn money . And work can also help us feel that we are useful . '
 "" But you know it's hard for a new graduate to find a job right now . ""
 ' Yes , it is really hard . But you must believe that you will find a suitable job finally . When you work , you can accumulate a lot of experience . Besides , you need to learn a lot of things while you are working . '
 "" I've been fed up with study . ""
 ' But whether you like it or not , there ’ s a trend of life-long study to make sure that we can keep ourselves up with the high developing society . And you need to accept this concept positively . '
 ' Oh , my . Why there are still so many things to learn after graduation ? '
 "" You have no choice , so you'd better adjust your thoughts to be ready to learn anything at any time . ""]",[2 1 1 1 1 1 2 1],[0 0 0 0 2 0 2 0],1067
8218,"[""This is our rock - bottom price , Mr . Li . We can't make any further concessions . ""
 "" If that's the case , there's not much point in further discussion . We might as well call the whole deal off . ""
 "" What I mean is that we'll never be able to come down to your price . The gap is too great . ""
 ' I think it unwise for either of us to insist on his own price . How about meeting each other half way so that business can be concluded ? '
 ' What is your proposal ? '
 ' Your unit price is 100 dollars higher than we can accept . When I suggested we meet each other half way , I meant it literally . '
 "" Do you mean to suggest that we have to make a further reduction of 50 dollars in our price ? That's impossible . ""
 ' What would you suggest ? '
 "" The best we can do will be a reduction of another 30 dollars . That'll definitely be rock bottom . ""
 "" That still leaves a gap of 20 dollars to be covered . Let's meet each other half way once more , then the gap will be closed and our business completed . ""
 "" You certainly have a way of talking me into it . All right , let's meet half way again . ""
 "" I'm glad we've come to an agreement on price . We'll go on to the other terms and conditions at our next meeting . ""
 "" Yes , there's one other point I wish to clear up . "" ' What is it ? '
 ' My friends in business circles all seem to be of the opinion that the U . S . import and export corporations have become more flexible in doing business recently . '
 "" Yes , they're right . In fact , we have either restored or adopted international practices in our foreign trade . ""
 "" I'm glad to hear that . With a view to expanding and further enhancing the bilateral relations between our two parties , and in particular , exchanging timely views on specific problems in the execution and enforcement of contracts , is it possible for us to have a representative that could stay permanently in Washing - ton D . C . ? ""
 ' Basically speaking , yes , we welcome the establishment of repry - tentative offices by foreign companies in Washington D . C . Of course , there are more details to be attended to . We cannot settle it in a few words . '
 "" Yes , of course . I'll call my home office tonight and let them know about it . When do we meet again ? ""
 ' How about tomorrow morning at 9 ? '
 "" Good . I'll come back tomorrow , and we can then discuss it more specifically . ""]",[3 4 3 3 2 3 4 2 3 3 4 3 2 1 1 1 2 1 2 3 4],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],2392
8224,"['How much do you have budgeted for our trip to Las Angeles ? '
 ' In total , it should be about $ 5,000 for the week conference . Would you like to see the breakdown ? '
 ' Yes , I want to know exactly where the money is going . Give me a detailed report . '
 "" First we have the airline tickets , which are $ 500 per person ; with four of us going , that's t $ 2,000 . For our accommodations , we're spending $ 80 a night , per room , for five days . That's another $ 800 . ""
 "" Weren ’ t you able to find anything less expensive ? We're sharing rooms , right ? ""
 "" I have two people to a room . The $ 80 room rate is the lowest I could find . With the conference going on that week , all the hotels have inflated their prices , they're making a killing . ""
 ' So far we have $ 2,800 , what else ? '
 ' I have budget $ 25 per Peron per day for food expenses . That totals another $ 800 . And for other incidentals , like take fees , and tips , I have estimated about $ 400 . '
 "" Well , that's only $ 4000 . Didn't you tell me your budget was $ 5000 ? Where is the rest of the money ? ""
 "" That's my buffer ... I wanted to leave a little room in the budget , just in case---it's better to be safe than sorry . ""]",[2 2 3 1 2 1 2 1 2 1],[0 0 0 0 0 0 0 0 0 0],1215
8244,"['Are you OK ? ' "" I'm fine . I'm just so touched by the sad story . ""
 ' So I can say now that you must have enjoyed the opera . Which scene is your favorite ? '
 "" I love them all . But if I had to name one as the best , I would say it's the ending . ""
 "" What's it about ? You know , I couldn't help falling asleep . ""
 "" Did you ? I didn't notice that . But still you should know it , for you have seen it with Laura before . ""
 "" I guess I've done the same thing last time I was here with her , too . I mean falling asleep . For me , this one is not that attractive . ""
 ' Then I doubt if you like operas at all . '
 "" Yes . I like Carmen very much . But I don't mind if you want to tell me about this one . ""
 "" OK , then . The man was old and he was visiting his wife's grave , with a rose in his hand . When he got there , he saw someone already put a rose on her grave . ""
 ' Very impressive . And I do like the leading actress who has an amazing voice . '
 ' Me , too . There was always a good round of applause every time she sings . '
 ' Yes , the applause ! That was what kept waking me up during the show . '
 "" And it's been such a faultless performance with the perfect lighting , and music . Just amazing ! ""
 "" No doubt , it's not a simple thing to put on a ' phantom show ' . ""
 ' Exactly . ']",[2 1 2 1 2 1 1 1 3 4 1 1 1 1 1 1],[0 5 0 0 0 6 0 0 0 0 4 4 4 4 4 4],1312
8266,"[""I'm so tired ! I don't know how I'm going to make it through this lecture . ""
 ' the professor is a bit boring today . You need something to perk yourself up . How about a coffee ? '
 "" I don't really like coffee , to be honest . It's too bitter for me . ""
 ' well , you need something to wake you up . How about a soda ? '
 ' most some drinks have too much sugar in them . '
 "" the diet sodas don't have any caffeic in them , which one would you like ? ""
 ' I like diet sprite . Does that have any caffeine in it ? '
 "" unfortunately , it doesn't . how about some diet coke ? ""
 "" I don't care for coke . I heard that coke was first used as a medicine and I don't like medicine . What else has caffeine ? ""
 ' maybe you should try a cappuccino or a latte ; they taste much better than plain brewed coffee . '
 ' maybe . How about a mochaccino ? Are they any good ? '
 "" you'll love that . It's just a shot of espresso beans mixed with steam milk and some chocolate syrup . ""
 "" that's perfect ! Would you like one , too ? My treat . ""
 "" thanks , but I'll stick with some jasmine tea . I'm trying to watch my diet . ""]",[1 3 4 3 4 2 2 3 2 3 3 4 2 1],[0 0 0 0 0 0 0 0 0 0 0 4 4 4],1121
8273,"['Good morning . What seems to be the problem ? '
 ' Good morning , doctor . I feel terrible . I ’ Ve god a cold and I have a rash here on my neck . I ’ m not sleeping well either . What do you think the problem could be ? '
 ' I ’ d say you ’ Ve been working too hard or are under stress for some reason . Have you been taking anything for your cold ? '
 ' Yes , I bought some medicine at the chemist ’ s . I ’ Ve been taking it for three days . '
 ' Good . I ’ m going to prescribe something stronger . It will make you feel drowsy , so you certainly should rest . '
 ' OK . I can afford to take a few days off work . '
 ' Have you been working hard recently ? '
 ' Yes , I have . I had to get a project finished . It ’ s done now , so I can relax a little . '
 ' Good . Let ’ s take a look at that rash ... it looks worse than it is . I ’ m going to prescribe some ointment for it . If the rash doesn ’ t clear up in a few days , come back and see me . Do you have any other symptoms ? '
 ' I have a bad headache , but ... '
 ' Don ’ t worry about that . It ’ s probably of the stress you ’ Ve been under . Just take some aspirin . Combined with the stronger cough medicine , it will make you feel very tired . You shouldn ’ t work or use any equipment which requires concentration . If I were you , I ’ d just sleep , read a book , or watch TV . Here is your prescription . '
 ' Thanks doctor . I ’ ll get these immediately . Goodbye . ']",[2 2 2 1 3 4 2 1 2 1 3 4],[0 0 0 0 0 0 0 0 0 0 0 0],1442
8294,"[""It's time to graduate and it's time to find a job . Susan , why do we need to find a job ? ""
 ' We need to work is because we need money to live . We need money for food and clothes and to pay for house . We need money for many different things , and only when we work , we can earn money . And work can also help us feel that we are useful . '
 "" But you know it's hard for a new graduate to find a god job right now . ""
 ' Yes , it is really hard . But you must believe that you will find a suitable job finally . When you work , you can accumulate a lot of experience . Besides , you need to learn a lot of things while you are working . '
 "" I've been fed up with study . ""
 ' But whether you like it or not , there ’ s a trend of life-long study to make sure that we can keep ourselves up with the high developing society . And you need to accept this concept positively . '
 ' Oh , my . Why there are still so many things to learn after graduation ? '
 "" You have no choice , so you'd better adjust your thoughts to be ready to learn anything at any time . ""]",[2 1 1 1 1 1 2 1],[0 0 0 0 0 0 0 0],1067
8311,"['R :: Good morning . Room Reservations . May I help you ? '
 ' Yes , I ’ d like to reserve a room . '
 ' R :: Thank you , sir . For which date and how many guests will there be in your party ? '
 ' From April 16th to 20th . Just my wife and myself . '
 ' R :: From April 16th to 20th.And which kind of room would you prefer , sir ? '
 ' A Twin , please . '
 ' Could you hold the line please ? I ’ ll check our room availability . ( After a while ) Thank you for waiting , sir . We have a twin room at US $ 180 per night , will that be all right ? '
 ' Ok , I ’ ll take it . '
 ' Thank you , sir . May I have your name and phone number , please ? '
 ' Sure . May name is Aaron Johnson , and my phone number is 3242-5827 . '
 ' R :: Mr . Aaron Johnson , phone number is 3242-5827 . Excuse me , how do you spell your first name ? '
 ' It ’ s double A , R , O , N . '
 ' Double A , R , O , N . Thank you , Mr . Johnson . May I know your arrival time on April 16th ? '
 ' Around 9 p . m . '
 ' Mr . Johnson , for the unguaranteed reservation , we can only hold the room by 6 p . m . , because it is the peak season now . If you make a guaranteed reservation , we can hold the room overnight . Would you like to make a guaranteed reservation by credit card ? '
 ' Fine . Do you accept American Express ? '
 ' Yes . May I know the number ? ' ' It ’ s 134986 '
 ' Thank you , Mr . Johnson . You ’ Ve made a guaranteed reservation at the Guangzhou xx Hotel , from April 16th to 20th for 5 nights . If you can ’ t arrive as schedule , please inform us before 6 p . m . on April . hank you for calling and we look forward to serving you ']",[2 3 2 1 2 1 3 4 2 1 2 1 2 1 3 2 2 1 3],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1629
8313,"['Good afternoon , Chloe , I ’ m Doctor Evans.What seems to be the problem ? '
 ' Hi , Dr Evans . Thanks for seeing me on such short notice . When I woke up this morning I had a really sore throat and a really bad cough . I think I am coming down with the flu . '
 ' Ah I see , yes you do sound rather croaky . Well let ’ s have a look , shall we ? Could you please open your mouth and say ” ah ” . '
 ' Ahhhhhhhh '
 ' Good , yes , your tonsils are a little swollen and red . How are your ears , blocked at all ? '
 ' A little actually . My sinuses are a little blocked up as well-I really feel terrible . '
 ' Ok Chloe , can you please breathe in and out slowly for me while I listen to your chest ? You really are all bunged up , you don ’ t sound too good at all . Ok , I ’ m going to set you up with a bunch of antibiotics . You will need to take these orange pills twice a day and these blue pills every evening . You will also have to take this cough medicine three times a day after meals . Finally , I am giving you an inhaler to use every time you feel breathless . . . just to clear up your lungs ! '
 ' Whoa ! So many drugs . . . I hate swallowing pills . Am I able to go to work ? '
 ' Absolutely not ! You are highly contagious ! You don ’ t want to infect the rest of your co-workers do you ? I recommend staying in bed for at least three days and drinking plenty of fluids so you don ’ t get weak and dehydrated . You can catch up on all the latest TV shows and movies ! '
 ' Ok ! Would you mind writing me a doctor ’ s note for work , otherwise they may think I am faking it ! '
 ' Ha-ha , sure not a problem ! Here you are.Now off you go and away to bed . If you have any questions just give me a call ! Feel better soon and take care . '
 ' Thanks doc , bye ! ']",[2 1 3 4 2 1 3 2 3 3 4 1],[0 0 0 0 0 0 0 0 0 0 0 0],1780
8322,"[""I can't stand the stupid guy any longer . It's unbelievable . ""
 ' Oh , my dear lady , take it easy . You should forgive a green hand like him . '
 ' He does everything so mindlessly that he is going to drive me crazy . '
 ' I suggest you talk with him and teach him how to deal with the problems . '
 "" I've told him how to do that several times , but he's never listened to me . ""
 ' Maybe you should communicate with him just like a friend , not a boss . '
 ' Oh , I always have difficulty in getting along with the staff . '
 "" Just take them for your good friends and have a talk with them as we do . Make sure you won't lose your temper ! ""
 "" Oh , so bad . I'm afraid I'll change the image of myself . ""
 "" No , it's unnecessary . Just respect the staff and their own opinions . ""
 "" But sometimes they offer some useless proposals , it's awfully useless . ""
 ' Oh , no one is perfect . '
 "" That's right . I should speak to them in a polite way . ""
 ' We have the equal partnership in team . '
 "" Thanks very much and you're very eloquent . ""
 ' Thanks for saying that . ']",[1 3 1 3 1 3 1 1 3 4 1 1 3 1 1 1],[1 0 1 0 1 0 5 0 0 0 0 0 0 0 4 4],1083
8325,"[""you're finally here ! What took so long ? ""
 ' I got stuck in traffic again . There was a terrible traffic jam near the Carrefour intersection . '
 "" it's always rather congested down there during rush hour . Maybe you should try to find a different route to get home . ""
 "" I don't think it can be avoided , to be honest . ""
 ' perhaps it would be better if you started taking public transport system to work . '
 "" I think it's something that I'll have to consider . The public transport system is pretty good . ""
 ' it would be better for the environment , too . '
 ' I know . I feel bad about how much my car is adding to the pollution problem in this city . '
 ' taking the subway would be a lot less stressful than driving as well . '
 "" the only problem is that I'm going to really miss having the freedom that you have with a car . ""
 "" well , when it's nicer outside , you can start biking to work . That will give you just as much freedom as your car usually provides . ""
 "" that's true . I could certainly use the exercise ! ""
 ' so , are you going to quit driving to work then ? '
 "" yes , it's not good for me or for the environment . ""]",[2 1 3 4 3 4 1 1 1 1 3 4 2 1],[0 0 0 0 0 0 0 5 0 0 4 4 0 0],1152
8337,"['Aunt Cindy , do you shop online often ? '
 "" Yes . It's very convenient and the price is even lower . ""
 "" Last week , I tried to buy some books online , but I didn't know how to pay for them ? ""
 ' You should open an account at the online bank first . After that , you can buy anything online . '
 ' Are there many things online ? '
 "" Sure . You can find everything all over the world . Let's check it out online ! ""
 "" Oh , what's this ? Second-hand cellphone store ? ""
 "" Yeah , this one is very famous with a good credit among on-line customers . It's like an open free market . If you want to change your cellphone for a new one , you can sell the old one here . ""
 ' Really ? How to do that ? '
 ' Take some pictures of the thing you want to sell , then upload it onto line with a brief description about it and leave your connecting number . Then your stuff will be sold by auction . '
 "" That's amazing . I'd love to try it later . Oh , an on-line virtual supermarket ? ""
 "" Let's click to check it out . ""
 ' Oh , I got it . It simulates the real supermarket , which makes it feel so real . Mom will love it . She loves shopping in supermarkets . '
 "" No doubt about it . Shopping online will get more and more popular . It's a real revolution about people's consuming habits . ""
 ' Are there any disadvantages about it ? '
 ' It takes some time for the stuff you buy online to arrive . But I think this problem will be solved soon . ']",[2 1 2 1 2 1 2 1 2 1 2 3 4 1 2 1],[0 0 0 0 0 0 0 0 6 0 4 0 4 0 0 0],1448
8341,"['What do you think are the main causes of war today ? '
 ' I ’ d say the main reason is poverty . Countries and their people get frustrated because they have so little . If their neighbors have some resources , they try to steal them by military force . '
 ' It seems that a lot of wars nowadays are really civil wars . People from different ethnic groups in the same country sometimes fight for power in that country . '
 ' several of those civil wars have been going on for years and years . It seems they will never end . '
 ' How do you think they could be ended ? '
 ' I don ’ t think that there is any easy way . The united nations could send peacekeepers into the country . At least then the warring parties could be forced to negotiate . The thing is to find the real pro '
 ' So , if the cause is poverty , there should be a programme to make the country richer . If the problem is resources , share them . '
 ' It sounds easy when you say it like that . In reality , it ’ s harder to make peace between countries . '
 ' Yes . It is . One way to stop countries fighting is to cut off their financial support . Wars are very expensive . '
 ' The problem is that many poor people might suffer . ']",[2 1 1 1 2 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 5],1205
8354,"['Have you seen Bill recently ? '
 ' Yes . He ’ s in hospital with a bad back . One morning , he just couldn ’ t get out of bed . His wife called an ambulance and they took him to hospital . He ’ s been there for a few days now . '
 ' Daisy ’ s in hospital too . She god food poisoning last week . She thinks she got it from some bad seafood . '
 ' You have to be very careful with seafood . It tastes lovely , but it often causes upset stomachs . Have you heard anything from Tom ? '
 ' He ’ s fine , but he had a fever last week . He probably just had a cold . '
 ' He might be allergic to pollen . My niece is allergic to pollen . It seems like she has a cold , but in fact it ’ s her allergy . '
 ' I see . My niece just flew back from Australia to visit . She ’ s got jetlag now . she ’ s just resting today , but we ’ ll probably go out somewhere tomorrow . '
 ' It ’ s nice that she ’ s back for a while . Thinking of all these ailments , I got a splinter the other day . It took a long time for me to get it out of my skin . Look . '
 ' Oh , your hand is still sore . You should put some ointment on it to stop the swelling . '
 ' That ’ s a good idea . You ’ Ve got a nasty bruise on your hand . '
 ' Yes , I banged it against to cooker yesterday . It really hurt , but it ’ s OK now . the bruise will disappear soon . ']",[2 1 1 2 1 1 1 1 3 4 1],[0 0 0 0 0 0 0 4 0 4 0],1330
8356,"[""Hi dude , you look upset , what's up ? ""
 "" Haven't been sleeping well recently . "" "" What's the problem ? ""
 "" Every night my roommates watch the Korean soap operas till mid-night . I am not a big fan of Korean shows and I don't know how to tell them to stop without hurting their feelings . ""
 ' Well , you can simply tell them you want to sleep , or make an agreement for a time when the room should quiet down . '
 "" Yeah , I know , but I find these sorts of things hard to say . They won't like it if I tell them to turn off the TV . Now I just hope the show will end soon . ""
 "" I understand . I used to live in a dorm with four people . I was great in some aspects . We always went out and and had fun together . But on the other hand , when I wanted some quiet time , and people kept talking and laughing aloud , it was torturous . For me a room to myself , even a small one , is ideal . Though I don't mind sharing an apartment with somebody . ""
 ' Yeah , I crave my own space . I just get so tiredhaving people around me all the time . We all need our private space . But I also think interpersonal skills very important . Living in a dorm means you have to learn to be considerate of others , otherwise nobody is going to have a good time . ']",[2 1 2 1 3 4 1 1],[0 0 0 0 0 0 0 0],1256
8361,"['Okay Rebecca , well I think you ’ Ve given me a clear impression of your positive qualities , but let ’ s talk a little bit about your weaknesses . '
 ' Okay , well it ’ s always more difficult to describe them isn ’ t it ? '
 ' Definitely , but if you had to pinpoint one weakness what would it be ? '
 ' Well as I mentioned before , I do tend to get frustrated if I don ’ t see progress in my work or career . I suppose I ’ m quite a restless character . My father always taught me to be a high achiever so . '
 ' So would you say if things don ’ t go your way at work it could easily get you down ? '
 ' Well , in a way yes . But I must say that even if I ’ m not completely happy in my work I always give 110 % I would never shirk my responsibilities . I suppose sometimes I expect too much too soon . '
 ' Well , you know journalism is a highly competitive world , so you do need to keep pushing yourself it ’ s true . Okay , well let ’ s move on to talk about the job position here , shall we ? '
 ' Yes , please . ']",[3 2 2 1 2 1 3 4],[0 0 0 0 0 0 0 0],1025
8362,"['How many people are in your family ? '
 ' As you know , china has a single-child policy . Therefore , there ’ s just my husband , my daughter and I . What about in your family ? '
 ' I have one daughter and one son . Then there ’ s my husband and I . What about your parents ? Do they live with your family ? '
 ' Not anymore . They live with my brother now . and yours ? '
 ' My parents live by themselves now . When they get older , they ’ ll probably go to a retirement home . Do you just have one brother ? '
 ' No , I have two older brothers and one younger sister . What about you ? '
 ' I also grew up in a big family . I have one older brother and three younger sisters . '
 ' How long have you been married ? '
 ' About seven years now . and you ? '
 ' I ‘ Ve been married for about five years . What do you think about divorce ? '
 ' It ’ s becoming more and more common . However , I don ’ t ever want to get divorced myself ! What about you ? '
 ' If my husband cheated on me or treated me badly , I would get a divorce . '
 ' If that happens , maybe you could marry my brother and we could become in-laws ! '
 ' ( ha ha ) I ’ ll keep that in mind , but don ’ t tell my husband . '
 ' Of course not ! ']",[2 2 2 2 2 2 1 2 2 2 2 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 4 4 4],1217
8364,"[""What's the matter , sir ? You look pale . ""
 "" I feel dizzy and weak . And I'm having this pain in my ear . I think I am sick . ""
 ' Are you often traveling by plane ? ' ' No , this is the second time . '
 "" That's right . It's normal if you don't often take the plane . Just relax a little bit . ""
 ' Why this happens to me when I am on the plane ? I feel bad . '
 "" Don't worry , sir . It's just because of the lower pressure . ""
 ' What should I do about it ? '
 ' You may feel much better if you chew some gum or peanuts . '
 "" OK , thanks . Does it work really ? I'll give a try . ""
 ' Are you feeling better now ? Do you need some pills ? '
 "" Much better . Thank you . I just feel tired but I can't fall asleep . ""
 "" So , you'd better wear this eyeshade and you will sleep well . ""
 ' I am not used to wearing that . Thanks . '
 "" If you try to adapt yourself to your destination's local time , you'll feel more comfortable . So please try to sleep , and have meals according to Los Angeles's time . ""
 ' Thank you so much . '
 ' You are welcome . Please press the button when you need any help . ']",[2 1 2 1 3 2 1 2 3 4 2 1 3 4 3 4 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0],1109
